Datum;Čas;Program;Škola;Kontakt;Email;Telefon;Počet žáků;Počet pedagogů;Věková skupina;Status;Poznámky
2026-04-01;09:30-10:15;Komentovaná prohlídka výstavy;ZŠ Masarykova Brno;Mgr. Jana Nováková;jana.novakova@zs-masarykova.cz;+420 545 214 112;11;3;Všechny věkové skupiny;Dokončené;
2026-04-02;10:00-10:45;Barvy kolem nás — MŠ;MŠ Kamarád;Mgr. Jana Nováková;jana.novakova@ms-kamarad.cz;+420 545 571 140;9;2;MŠ (3-6 let);Dokončené;
2026-04-02;11:00-12:30;Moderna v galerii — II. stupeň ZŠ;ZŠ Horácké náměstí;Mgr. Daniel Hruška;daniel.hruska@zshoracke.cz;+420 549 212 110;19;2;ZŠ 2. stupeň (12-15);Dokončené;
2026-04-02;12:00-13:00;Experimentální ateliér — II. stupeň ZŠ;Gymnázium Slovanské náměstí;Mgr. Petra Svobodová;petra.svobodova@gsn-brno.cz;+420 549 250 320;11;3;ZŠ 2. stupeň (12-15);Dokončené;
2026-04-03;10:00-11:00;Experimentální ateliér — II. stupeň ZŠ;ZŠ Úvoz;Mgr. Eva Horáková;eva.horakova@zsuvoz.cz;+420 541 513 900;11;3;ZŠ 2. stupeň (12-15);Dokončené;
2026-04-03;10:30-11:30;Barvy kolem nás — I. stupeň ZŠ;ZŠ Úvoz;Mgr. Martin Beneš;martin.benes@zsuvoz.cz;+420 541 513 900;19;1;ZŠ 1. stupeň (7-12);Dokončené;
2026-04-07;12:00-13:00;Experimentální ateliér — Gymnázium;ZŠ Kotlářská;Mgr. Tereza Kolářová;tereza.kolarova@zs-kotlarska.cz;+420 541 211 190;11;1;Gymnázium (14-18);Dokončené;
2026-04-08;12:00-13:00;Experimentální ateliér — Gymnázium;ZŠ Masarykova Brno;Mgr. Eva Horáková;eva.horakova@zs-masarykova.cz;+420 545 214 112;17;1;Gymnázium (14-18);Dokončené;
2026-04-08;13:00-14:30;Moderna v galerii — SŠ;SOŠ grafická Brno;Mgr. Eva Horáková;eva.horakova@sosbrno.cz;+420 541 321 811;14;3;SŠ (14-18);Dokončené;
2026-04-09;10:00-11:00;Experimentální ateliér — II. stupeň ZŠ;ZŠ Horácké náměstí;Mgr. Daniel Hruška;daniel.hruska@zshoracke.cz;+420 549 212 110;15;1;ZŠ 2. stupeň (12-15);Dokončené;
2026-04-12;09:00-10:00;Barvy kolem nás — I. stupeň ZŠ;MŠ Veslařská;Mgr. Tereza Kolářová;tereza.kolarova@ms-veslarska.cz;+420 543 211 808;23;3;ZŠ 1. stupeň (7-12);Dokončené;
2026-04-12;10:00-10:45;Barvy kolem nás — MŠ;Gymnázium Vídeňská;PaedDr. Karel Malý;karel.maly@gymnazium-vidno.cz;+420 544 509 111;9;3;MŠ (3-6 let);Dokončené;
2026-04-13;09:00-10:00;Barvy kolem nás — I. stupeň ZŠ;ZŠ Kotlářská;PaedDr. Karel Malý;karel.maly@zs-kotlarska.cz;+420 541 211 190;12;1;ZŠ 1. stupeň (7-12);Zrušené;
2026-04-14;11:00-12:30;Tvůrčí dílna: grafika — I. stupeň ZŠ;SOŠ grafická Brno;Mgr. Eva Horáková;eva.horakova@sosbrno.cz;+420 541 321 811;16;3;ZŠ 1. stupeň (7-12);Dokončené;
2026-04-16;09:00-10:30;Moderna v galerii — II. stupeň ZŠ;ZŠ Úvoz;Mgr. Tereza Kolářová;tereza.kolarova@zsuvoz.cz;+420 541 513 900;21;2;ZŠ 2. stupeň (12-15);Dokončené;
2026-04-16;12:00-13:00;Experimentální ateliér — II. stupeň ZŠ;MŠ Sluníčko Brno;Mgr. Tereza Kolářová;tereza.kolarova@ms-slunicko.cz;+420 545 223 909;10;3;ZŠ 2. stupeň (12-15);Dokončené;
2026-04-16;11:30-12:15;Komentovaná prohlídka výstavy;Gymnázium Vídeňská;Mgr. Tereza Kolářová;tereza.kolarova@gymnazium-vidno.cz;+420 544 509 111;19;3;Všechny věkové skupiny;Dokončené;
2026-04-17;10:00-10:45;Barvy kolem nás — MŠ;Gymnázium Matyáše Lercha;Mgr. Martin Beneš;martin.benes@gml.cz;+420 543 237 540;11;3;MŠ (3-6 let);Dokončené;
2026-04-17;09:00-10:30;Moderna v galerii — SŠ;Gymnázium Vídeňská;PaedDr. Karel Malý;karel.maly@gymnazium-vidno.cz;+420 544 509 111;26;2;SŠ (14-18);Dokončené;
2026-04-18;11:30-12:15;Komentovaná prohlídka výstavy;Gymnázium Matyáše Lercha;Mgr. Petra Svobodová;petra.svobodova@gml.cz;+420 543 237 540;11;3;Všechny věkové skupiny;Dokončené;
2026-04-19;13:00-14:30;Moderna v galerii — SŠ;ZŠ Horácké náměstí;Mgr. Jana Nováková;jana.novakova@zshoracke.cz;+420 549 212 110;14;3;SŠ (14-18);Dokončené;
2026-04-22;12:00-13:00;Experimentální ateliér — II. stupeň ZŠ;MŠ Sluníčko Brno;Mgr. Eva Horáková;eva.horakova@ms-slunicko.cz;+420 545 223 909;20;1;ZŠ 2. stupeň (12-15);Zrušené;
2026-04-26;11:00-12:30;Tvůrčí dílna: grafika — I. stupeň ZŠ;Gymnázium Matyáše Lercha;Mgr. Jana Nováková;jana.novakova@gml.cz;+420 543 237 540;15;1;ZŠ 1. stupeň (7-12);Zrušené;
2026-04-27;09:00-10:30;Moderna v galerii — SŠ;Gymnázium Vídeňská;Mgr. Tereza Kolářová;tereza.kolarova@gymnazium-vidno.cz;+420 544 509 111;27;1;SŠ (14-18);Potvrzené;
2026-04-28;09:00-10:00;Barvy kolem nás — I. stupeň ZŠ;Gymnázium Matyáše Lercha;Mgr. Martin Beneš;martin.benes@gml.cz;+420 543 237 540;11;1;ZŠ 1. stupeň (7-12);Čekající;
2026-04-29;09:00-10:00;Barvy kolem nás — I. stupeň ZŠ;ZŠ Sirotkova;PaedDr. Karel Malý;karel.maly@zssirotkova.cz;+420 549 272 004;12;1;ZŠ 1. stupeň (7-12);Zrušené;
2026-04-30;09:05-10:05;Barvy kolem nás — I. stupeň ZŠ;ZŠ Kotlářská;Mgr. Eva Horáková;eva.horakova@zs-kotlarska.cz;+420 541 211 190;18;1;ZŠ 1. stupeň (7-12);Potvrzené;Edge overlap: končí 10:05, další rezervace začíná 10:00.
2026-04-30;10:00-11:00;Experimentální ateliér — II. stupeň ZŠ;ZŠ Sirotkova;Mgr. Tereza Kolářová;tereza.kolarova@zssirotkova.cz;+420 549 272 004;15;1;ZŠ 2. stupeň (12-15);Potvrzené;
